zipcode,state,description,viewport
7851,NJ,Layton,41.2789749:41.081949:-74.8151849:-74.992015
7852,NJ,Ledgewood,40.8945189:40.859597:-74.6380218:-74.6908
7853,NJ,Long Valley,40.8488739:40.719193:-74.7241069:-74.8897058
7855,NJ,Middleville,41.0571023802915:41.0544044197085:-74.8611337197085:-74.8638316802915
7856,NJ,Mount Arlington,40.9426811:40.891618:-74.6145379:-74.657146
7857,NJ,Netcong,40.909003:40.889418:-74.679661:-74.723218
7860,NJ,Newton,41.175:40.954026:-74.6867269:-74.964309
7863,NJ,Oxford,40.861748:40.770202:-74.8815919:-75.0457289
7865,NJ,Port Murray,40.841285:40.7540989:-74.8632711:-74.9589411
7866,NJ,Rockaway,41.0417909:40.8774049:-74.424285:-74.5560949
7869,NJ,Randolph,40.883784:40.804873:-74.509252:-74.657802
7870,NJ,Schooleys Mountain,40.8020540802915:40.7993561197085:-74.8125893197085:-74.8152872802915
7871,NJ,Sparta,41.1186109:40.9866618:-74.536002:-74.700171
7874,NJ,Stanhope,40.9624969:40.899156:-74.6656791:-74.7715141
7875,NJ,Stillwater,41.0364597802915:41.0337618197085:-74.8750494197085:-74.8777473802915
7876,NJ,Succasunna,40.877533:40.833537:-74.6229038:-74.6895969
7877,NJ,Swartswood,41.0883570802915:41.0856591197085:-74.8264545197085:-74.8291524802915
7878,NJ,Mount Tabor,40.8755978:40.8668471:-74.4730042:-74.4834319
7879,NJ,Tranquility,40.9509608802915:40.9482629197085:-74.7984998197085:-74.8011977802915
7880,NJ,Vienna,40.8802401:40.869093:-74.884513:-74.8965411
7881,NJ,Wallpack Center,41.1313489802915:41.1286510197085:-74.9186510197085:-74.9213489802915
7882,NJ,Washington,40.7997699:40.70399:-74.9190369:-75.1069629
7885,NJ,Wharton,40.9898121:40.885738:-74.5041221:-74.6285279
7890,NJ,Branchville,41.1539952:41.1501534:-74.7420915:-74.747283
7901,NJ,Summit,40.739469:40.688708:-74.331328:-74.39332
7902,NJ,Summit,40.7172513802915:40.7145534197085:-74.3577098197085:-74.3604077802915
7920,NJ,Basking Ridge,40.741754:40.610738:-74.48713:-74.638012
7921,NJ,Bedminster,40.7013249:40.615956:-74.624162:-74.7393769
7922,NJ,Berkeley Heights,40.698754:40.652504:-74.3794499:-74.464491
7924,NJ,Bernardsville,40.758005:40.6937579:-74.548751:-74.6409759
7926,NJ,Brookside,40.7979869:40.794402:-74.565669:-74.5685819
7927,NJ,Cedar Knolls,40.8412329:40.805855:-74.436791:-74.4744311
7928,NJ,Chatham,40.7549999:40.6879689:-74.36624:-74.4497359
7930,NJ,Chester,40.834585:40.7194519:-74.6237079:-74.7406351
7931,NJ,Far Hills,40.773872:40.6592081:-74.5777409:-74.7238279
7932,NJ,Florham Park,40.798006:40.750268:-74.357748:-74.4406838
7933,NJ,Gillette,40.7188949:40.6660379:-74.4443509:-74.5030889
7934,NJ,Gladstone,40.749568:40.7013249:-74.6439828:-74.724516
7935,NJ,Green Village,40.753782:40.714985:-74.424381:-74.482962
7936,NJ,East Hanover,40.845329:40.7931861:-74.3296459:-74.4033429
7938,NJ,Liberty Corner,40.6665458802915:40.6638479197085:-74.5772474197085:-74.5799453802915
7939,NJ,Lyons,40.6694398802915:40.6667419197085:-74.5534399197085:-74.5561378802915
7940,NJ,Madison,40.7789779:40.7398899:-74.3920629:-74.4506869
